id,lote,tamanio,pixelescolor,color,rangocolor
1,lote1,66071,39461,#ffb600,NaranjaII
1,lote1,66071,7589,#ff8015,NaranjaI
1,lote1,66071,6274,#ffee00,NaranjaIII
1,lote1,66071,4773,#ff1a20,Irrelevante
1,lote1,66071,3831,#81827a,Verde
1,lote1,66071,1444,#002120,Irrelevante
1,lote1,66071,882,#c4737b,Irrelevante
1,lote1,66071,497,#da924e,Irrelevante
1,lote1,66071,378,#ffffff,Irrelevante
1,lote1,66071,328,#ffffbf,Irrelevante
1,lote1,66071,229,#a5a029,Verde
1,lote1,66071,187,#d33f45,Irrelevante
1,lote1,66071,101,#4ca622,Verde
1,lote1,66071,52,#70240c,Verde
1,lote1,66071,17,#a3f212,Verde
1,lote1,66071,14,#73a462,Verde
1,lote1,66071,9,#2c0104,Irrelevante
1,lote1,66071,3,#3b466a,Verde
1,lote1,66071,1,#ffaaff,NaranjaII
1,lote1,66071,1,#6c5e22,Verde
2,lote2,72964,33166,#00a832,Irrelevante
2,lote2,72964,20696,#9ed300,Verde
2,lote2,72964,4501,#564d50,Verde
2,lote2,72964,4421,#f9e500,Irrelevante
2,lote2,72964,3509,#ff960f,NaranjaI
2,lote2,72964,3281,#ff1a20,Irrelevante
2,lote2,72964,975,#d4b240,Irrelevante
2,lote2,72964,580,#ffffff,Irrelevante
2,lote2,72964,482,#ba4a00,Irrelevante
2,lote2,72964,401,#ab4542,Verde
2,lote2,72964,358,#ffaaaa,NaranjaII
2,lote2,72964,231,#8e7334,Verde
2,lote2,72964,207,#ffffbf,Irrelevante
2,lote2,72964,59,#6f9a54,Verde
2,lote2,72964,39,#102100,Irrelevante
2,lote2,72964,37,#401200,Verde
2,lote2,72964,18,#799f98,Verde
2,lote2,72964,3,#00071b,Irrelevante
3,lote3,110835,53975,#00a637,Irrelevante
3,lote3,110835,32560,#ffd400,NaranjaII
3,lote3,110835,10900,#accc00,Verde
3,lote3,110835,4247,#fb9600,Irrelevante
3,lote3,110835,2755,#ff1e24,Irrelevante
3,lote3,110835,1874,#001d26,Irrelevante
3,lote3,110835,957,#9ea964,Verde
3,lote3,110835,941,#587470,Verde
3,lote3,110835,677,#ffffff,Irrelevante
3,lote3,110835,598,#bc4800,Irrelevante
3,lote3,110835,575,#ffffbf,Irrelevante
3,lote3,110835,254,#ffaea9,NaranjaII
3,lote3,110835,135,#a47c00,Verde
3,lote3,110835,118,#5ed90a,Verde
3,lote3,110835,114,#973c3c,Verde
3,lote3,110835,72,#320000,Irrelevante
3,lote3,110835,70,#06a378,Irrelevante
3,lote3,110835,5,#503e16,Verde
3,lote3,110835,4,#356100,Verde
3,lote3,110835,2,#e53656,Irrelevante
3,lote3,110835,2,#96faa1,Verde
4,lote4,62139,18606,#ffc200,NaranjaII
4,lote4,62139,18242,#00a430,Irrelevante
4,lote4,62139,9391,#bfcf00,Irrelevante
4,lote4,62139,7137,#3a2e32,Verde
4,lote4,62139,2998,#f67f00,Irrelevante
4,lote4,62139,1389,#ff162b,Irrelevante
4,lote4,62139,1016,#cb903a,Irrelevante
4,lote4,62139,954,#ffffaa,Irrelevante
4,lote4,62139,659,#db594b,Irrelevante
4,lote4,62139,549,#ffffff,Irrelevante
4,lote4,62139,389,#2c3401,Irrelevante
4,lote4,62139,320,#8d7771,Verde
4,lote4,62139,186,#90a84a,Verde
4,lote4,62139,148,#86ec47,Verde
4,lote4,62139,94,#954055,Verde
4,lote4,62139,40,#1e6a5b,Irrelevante
4,lote4,62139,10,#f4a499,Irrelevante
4,lote4,62139,10,#794314,Verde
4,lote4,62139,1,#cc99cc,Irrelevante
5,lote5,167245,78041,#ffb400,NaranjaII
5,lote5,167245,31761,#d5d900,Irrelevante
5,lote5,167245,25945,#00a53e,Irrelevante
5,lote5,167245,17876,#ff7c18,NaranjaI
5,lote5,167245,4614,#ff1f28,Irrelevante
5,lote5,167245,2180,#000900,Irrelevante
5,lote5,167245,1974,#82d32e,Verde
5,lote5,167245,1056,#8f591c,Verde
5,lote5,167245,840,#1f5d5a,Irrelevante
5,lote5,167245,730,#ffffbf,Irrelevante
5,lote5,167245,679,#ffffff,Irrelevante
5,lote5,167245,590,#737f1a,Verde
5,lote5,167245,456,#c3323e,Irrelevante
5,lote5,167245,285,#ffbcae,NaranjaII
5,lote5,167245,139,#92dbb6,Verde
5,lote5,167245,55,#6f5356,Verde
5,lote5,167245,8,#07204e,Irrelevante
5,lote5,167245,5,#1c3500,Irrelevante
5,lote5,167245,5,#450f00,Verde
5,lote5,167245,4,#dcb260,Irrelevante
5,lote5,167245,1,#ffaaff,NaranjaII
5,lote5,167245,1,#989571,Verde
6,lote6,106980,56647,#ffbc00,NaranjaII
6,lote6,106980,18661,#d3dc00,Irrelevante
6,lote6,106980,15598,#00a52f,Irrelevante
6,lote6,106980,7500,#fc8100,Irrelevante
6,lote6,106980,1936,#ff4423,NaranjaI
6,lote6,106980,1520,#7d7d00,Verde
6,lote6,106980,1128,#000917,Irrelevante
6,lote6,106980,1045,#808080,Verde
6,lote6,106980,465,#ffffbf,Irrelevante
6,lote6,106980,460,#ffaaaa,NaranjaII
6,lote6,106980,433,#ffffff,Irrelevante
6,lote6,106980,401,#380000,Verde
6,lote6,106980,357,#a25151,Verde
6,lote6,106980,282,#224d39,Irrelevante
6,lote6,106980,245,#7bdb0f,Verde
6,lote6,106980,109,#faba79,Irrelevante
6,lote6,106980,86,#a62714,Verde
6,lote6,106980,38,#aaffaa,Verde
6,lote6,106980,35,#459a67,Verde
6,lote6,106980,33,#8d5816,Verde
6,lote6,106980,1,#80ffff,Verde
